Ticker,ESG Score,Governance Score,Environment Score,Social Score,ESG Score Date,ESG Status,CEO Full Name,CEO Gender,CEO Status
CNP,25.56,5.42,10.58,9.56,01/01/2023,success,"Mr. David John Lesar B.Sc., C.P.A., M.B.A.",male,success
CDAY,,,,,,An error occurred: 'symbolSeries',Mr. David D. Ossip,male,success
CF,30.03,5.49,16.82,7.73,01/01/2023,success,Mr. W. Anthony Will,male,success
CRL,,,,,,An error occurred: 'symbolSeries',Mr. James C. Foster J.D.,male,success
SCHW,24.01,11.79,2.08,10.14,01/08/2022,success,Mr. Walter William Bettinger II,male,success
CHTR,26.53,7.86,5.57,13.1,01/08/2022,success,Mr. Christopher L. Winfrey,male,success
CVX,37.61,10.29,18.61,8.71,01/08/2022,success,Mr. Michael K. Wirth,male,success
CMG,23.64,4.69,5.5,13.45,01/01/2023,success,Mr. Brian R. Niccol,male,success
CB,23.85,10.58,1.67,11.59,01/08/2022,success,Mr. Evan G. Greenberg,male,success
CHD,19.79,6.62,6.53,6.63,01/01/2023,success,Mr. Matthew Thomas Farrell,male,success
CI,11.65,5.65,0.02,5.99,01/03/2021,success,Mr. David Michael Cordani,male,success
CINF,25.62,12.83,1.82,10.97,01/01/2023,success,"Mr. Steven Justus Johnston C.F.A., CERA, FCAS, MAAA",male,success
CTAS,18.25,5.88,3.21,9.17,01/01/2023,success,Mr. Todd M. Schneider,male,success
CSCO,12.07,6.45,0.03,5.59,01/08/2022,success,Mr. Charles H. Robbins,male,success
C,26.68,11.82,1.75,13.11,01/08/2022,success,Ms. Jane Nind Fraser,female,success
CFG,23.46,11.35,1.96,10.15,01/01/2023,success,Mr. Bruce Winfield Van Saun,male,success
CLX,21.14,5.61,6.33,9.2,01/01/2023,success,Ms. Linda  Rendle,female,success
CME,14.59,6.24,2.13,6.21,01/08/2022,success,Mr. Terrence A. Duffy,male,success
CMS,21.29,5.7,9.8,5.78,01/01/2023,success,Mr. Garrick J. Rochow,male,success
KO,22.56,4.95,7.88,9.72,01/08/2022,success,Mr. James Robert B. Quincey,male,success
CTSH,14.38,5.63,1.11,7.64,01/08/2022,success,Mr. Ravi Kumar Singisetti,male,success
CL,22.12,6.72,6.06,9.35,01/08/2022,success,Mr. Noel R. Wallace,male,success
CMCSA,24.76,8.09,4.56,12.11,01/08/2022,success,Mr. Brian L. Roberts,male,success
CMA,25.97,12.66,2.31,10.99,01/01/2023,success,Mr. Curtis Chatman Farmer,male,success
CAG,31.73,4.88,10.96,15.89,01/01/2023,success,Mr. Sean M. Connolly,male,success
COP,34.86,7.87,17.29,9.71,01/08/2022,success,Mr. Ryan M. Lance,male,success
ED,23.09,6.29,7.46,9.34,01/01/2023,success,Mr. Timothy P. Cawley,male,success
STZ,25.79,5.4,10.35,10.04,01/08/2022,success,Mr. William A. Newlands,male,success
CEG,,,,,,An error occurred: 'symbolSeries',Mr. Joseph  Dominguez,male,success
COO,19.5,6.03,2.7,10.76,01/01/2023,success,Mr. Albert G. White III,male,success
CPRT,18.05,5.41,1.61,11.03,01/01/2023,success,Mr. A. Jayson Adair,male,success
GLW,19.42,6.87,7.3,5.24,01/08/2022,success,Mr. Wendell P. Weeks,male,success
CTVA,,,,,,An error occurred: 'symbolSeries',"Mr. Charles Victor Magro B.Sc. (Chem), MBA",male,success
CSGP,26.94,8.38,5.45,13.12,01/01/2023,success,Mr. Andrew C. Florance,male,success
COST,24.19,5.72,7.26,11.21,01/08/2022,success,Mr. W. Craig Jelinek,male,success
CTRA,46.02,8.78,24.13,13.11,01/01/2023,success,Mr. Thomas E. Jorden,male,success
CCI,13.2,5.06,5.21,2.92,01/08/2022,success,Mr. Jay A. Brown,male,success
CSX,20.09,3.44,7.45,9.19,01/08/2022,success,Mr. Joseph R. Hinrichs,male,success
CMI,19.36,6.06,5.8,7.5,01/08/2022,success,Ms. Jennifer W. Rumsey,female,success
CVS,22.86,6.44,0.03,16.39,01/08/2022,success,Ms. Karen Sue Lynch,female,success
DHI,21.74,5.74,9.35,6.66,01/01/2023,success,Mr. Paul J. Romanowski,male,success
DHR,11.73,5.22,1.35,5.16,01/08/2022,success,Mr. Rainer M. Blair,male,success
DRI,27.99,4.57,8.43,15.0,01/01/2023,success,Mr. Ricardo  Cardenas,male,success
DVA,22.56,8.42,0.07,14.08,01/01/2023,success,Mr. Javier J. Rodriguez,male,success
DE,16.64,6.55,3.19,6.9,01/08/2022,success,Mr. John C. May II,male,success
DAL,26.13,5.15,9.52,11.46,01/08/2022,success,Mr. Edward H. Bastian,male,success
XRAY,15.78,6.71,2.21,6.86,01/01/2023,success,Mr. Simon D. Campion,male,success
DVN,36.69,7.83,20.71,8.15,01/01/2023,success,Mr. Richard E. Muncrief,male,success
DXCM,23.7,8.08,5.39,10.24,01/01/2023,success,Mr. Kevin Ronald Sayer,male,success
FANG,,,,,,An error occurred: 'symbolSeries',Mr. Travis D. Stice,male,success
DLR,12.61,7.0,2.8,2.81,01/01/2023,success,Mr. Andrew P. Power,male,success
DFS,22.57,10.58,0.13,11.87,01/08/2022,success,Mr. John B. Owen,male,success
DIS,14.88,6.9,0.06,7.92,01/08/2022,success,Mr. Robert A. Iger,male,success
DG,17.36,5.53,3.27,8.56,01/01/2023,success,Mr. Todd J. Vasos,male,success
DLTR,14.87,4.06,3.4,7.41,01/01/2023,success,Mr. Richard W. Dreiling,male,success
D,25.38,5.73,11.11,8.55,01/08/2022,success,Mr. Robert M. Blue,male,success
DPZ,31.02,6.62,7.73,16.68,01/01/2023,success,Mr. Russell J. Weiner,male,success
DOV,25.27,5.77,7.12,12.38,01/01/2023,success,Mr. Richard Joseph Tobin,male,success
DOW,,,,,,An error occurred: 'symbolSeries',Mr. James R. Fitterling,male,success
DTE,30.09,4.77,15.28,10.04,01/01/2023,success,Mr. Gerardo  Norcia,male,success
DUK,27.63,4.56,14.49,8.57,01/08/2022,success,Ms. Lynn J. Good,female,success
DD,28.95,7.39,13.44,8.12,01/08/2022,success,Mr. Edward D. Breen,male,success
EMN,24.6,7.2,11.98,5.42,01/01/2023,success,Mr. Mark J. Costa,male,success
ETN,17.85,5.72,5.37,6.76,01/08/2022,success,Mr. Craig  Arnold,male,success
EBAY,17.11,6.84,0.93,9.33,01/08/2022,success,Mr. Jamie J. Iannone,male,success
ECL,24.09,6.17,9.48,8.44,01/08/2022,success,Mr. Christophe  Beck,male,success
EIX,27.43,5.5,10.73,11.2,01/08/2022,success,Dr. Pedro J. Pizarro,male,Manually added gender
EW,19.33,7.63,2.86,8.85,01/01/2023,success,Mr. Bernard J. Zovighian,male,success
EA,10.36,4.72,0.13,5.52,01/08/2022,success,Mr. Andrew  Wilson,male,success
ELV,49.33,48.7,49.44,51.49,01/10/2018,success,Ms. Gail Koziara Boudreaux,female,success
LLY,32.4,11.56,3.43,17.4,01/08/2022,success,Mr. David A. Ricks,male,success
EMR,29.47,7.0,10.13,12.34,01/08/2022,success,Mr. Surendralal Lanca Karsanbhai,male,success
ENPH,,,,,,An error occurred: 'symbolSeries',Mr. Badrinarayanan  Kothandaraman,male,success
ETR,29.57,6.41,16.31,6.85,01/01/2023,success,Mr. Andrew S. Marsh,male,success
EOG,36.25,7.73,20.39,8.13,01/08/2022,success,Mr. Ezra Y. Yacob,male,success
EPAM,,,,,,An error occurred: 'symbolSeries',Mr. Arkadiy  Dobkin,male,success
EQT,36.64,7.54,19.03,10.08,01/01/2023,success,Mr. Toby Z. Rice,male,success
EFX,25.76,6.98,0.16,18.63,01/01/2023,success,Mr. Mark W. Begor,male,success
EQIX,11.79,5.65,2.63,3.51,01/08/2022,success,Mr. Charles J. Meyers,male,success
EQR,11.16,5.21,2.89,3.06,01/01/2023,success,Mr. Mark J. Parrell,male,success
ESS,12.33,6.13,3.5,2.69,01/01/2023,success,Ms. Angela L. Kleiman,female,success
EL,25.91,7.68,6.88,11.34,01/08/2022,success,Mr. Fabrizio  Freda,male,success
ETSY,64.51,62.1,63.4,62.86,01/11/2018,success,Mr. Joshua G. Silverman,male,success
EG,,,,,,An error occurred: 'symbolSeries',Mr. Juan Carlos Andrade,male,success
EVRG,,,,,,An error occurred: 'symbolSeries',Mr. David A. Campbell,male,success
ES,18.73,5.77,4.8,8.16,01/01/2023,success,Mr. Joseph R. Nolan Jr.,male,success
EXC,24.39,6.59,8.83,8.97,01/08/2022,success,Mr. Calvin  Butler Jr.,male,success
EXPE,25.7,9.81,2.11,13.79,01/01/2023,success,Mr. Peter Maxwell Kern,male,success
EXPD,15.82,4.64,3.83,7.35,01/01/2023,success,Mr. Jeffrey S. Musser,male,success
EXR,14.08,5.99,3.81,4.28,01/01/2023,success,Mr. Joseph Daniel Margolis J.D.,male,success
XOM,36.47,8.1,18.55,9.82,01/08/2022,success,Mr. Darren W. Woods,male,success
FFIV,19.18,5.42,1.26,12.49,01/01/2023,success,Mr. Francois  Locoh-Donou,male,success
FDS,20.44,6.61,2.94,10.88,01/01/2023,success,Mr. Frederick Philip Snow,male,success
FICO,,,,,,An error occurred: 'symbolSeries',Mr. William J. Lansing,male,success
FAST,26.4,7.05,10.69,8.66,01/01/2023,success,Mr. Daniel L. Florness,male,success
FRT,12.42,5.82,2.27,4.34,01/09/2021,success,Mr. Donald C. Wood CPA,male,success
FDX,20.45,5.84,5.29,9.32,01/08/2022,success,Mr. Rajesh  Subramaniam,male,success
FITB,17.44,7.36,1.41,8.68,01/01/2023,success,Mr. Timothy N. Spence,male,success
FSLR,,,,,,An error occurred: 'symbolSeries',Mr. Mark R. Widmar,male,success
FE,29.51,6.84,12.96,9.72,01/01/2023,success,Mr. Brian X. Tierney,male,success
FIS,18.08,5.68,1.27,11.14,01/08/2022,success,Ms. Stephanie L. Ferris,female,success
FI,,,,,,An error occurred: 'symbolSeries',Mr. Frank J. Bisignano,male,success
FLT,18.11,6.16,2.88,9.08,01/01/2023,success,Mr. Ronald F. Clarke,male,success
FMC,32.74,7.47,16.18,9.09,01/01/2023,success,Mr. Mark A. Douglas,male,success
F,29.95,9.35,9.27,11.34,01/08/2022,success,Mr. James D. Farley Jr.,male,success
FTNT,19.13,5.71,1.23,12.19,01/01/2023,success,Mr. Ken  Xie,male,success
FTV,34.76,4.7,16.09,13.97,01/01/2023,success,Mr. James A. Lico,male,success
FOXA,50.37,52.7,58.53,45.13,01/03/2019,success,Mr. Lachlan Keith Murdoch,male,success
FOX,,,,,,An error occurred: 'symbolSeries',Mr. Lachlan Keith Murdoch,male,success
BEN,18.18,7.18,1.12,9.88,01/01/2023,success,Ms. Jennifer M. Johnson,female,success
FCX,31.94,5.22,16.56,10.15,01/01/2023,success,Mr. Richard C. Adkerson,male,success
GRMN,18.54,5.28,5.4,7.86,01/01/2023,success,Mr. Clifton  Albert Pemble,male,success
IT,21.78,6.2,0.13,15.44,01/01/2023,success,Mr. Eugene A. Hall,male,success
GEHC,,,,,,An error occurred: 'symbolSeries',Mr. Peter J. Arduini,male,success
GEN,14.98,4.81,0.7,9.47,01/01/2023,success,Mr. Vincent  Pilette,male,success
GNRC,,,,,,An error occurred: 'symbolSeries',Mr. Aaron P. Jagdfeld,male,success
GD,34.88,6.87,8.48,19.52,01/08/2022,success,Ms. Phebe N. Novakovic,female,success
GE,40.71,11.58,14.09,15.04,01/08/2022,success,Mr. H. Lawrence Culp Jr.,male,success
GIS,21.51,4.13,8.45,8.94,01/08/2022,success,Mr. Jeffrey L. Harmening,male,success
GM,30.89,7.69,10.28,12.92,01/08/2022,success,Ms. Mary T. Barra,female,success
GPC,12.62,3.78,3.62,5.23,01/01/2023,success,Mr. Paul D. Donahue,male,success
GILD,22.08,8.01,0.03,14.04,01/08/2022,success,Mr. Daniel P.  O'Day,male,success
GL,20.25,10.51,1.58,8.16,01/01/2023,success,Mr. Frank Martin Svoboda,male,success
GPN,19.03,6.8,1.25,10.98,01/01/2023,success,Mr. Cameron M. Bready CPA,male,success
GS,26.16,12.24,1.25,12.67,01/08/2022,success,Mr. David  Solomon,male,success
HAL,23.8,6.32,8.89,8.59,01/08/2022,success,Mr. Jeffrey Allen Miller,male,success
HIG,16.17,8.67,1.5,5.99,01/01/2023,success,Mr. Christopher Jerome Swift CPA,male,success
HAS,7.11,4.2,0.04,2.88,01/01/2023,success,Mr. Christian  Cocks,male,success
HCA,28.24,7.4,3.5,17.34,01/08/2022,success,Mr. Samuel N. Hazen,male,success
PEAK,9.73,4.49,3.01,2.22,01/01/2023,success,Mr. Scott M. Brinker,male,success
HSIC,13.37,5.64,2.14,5.59,01/01/2023,success,Mr. Stanley M. Bergman,male,success
HSY,27.43,5.24,11.3,10.89,01/01/2023,success,Ms. Michele Gross Buck,female,success
HES,36.05,6.75,22.11,7.2,01/01/2023,success,Mr. John B. Hess,male,success
HPE,11.94,6.25,0.76,4.92,01/08/2022,success,Mr. Antonio Fabio Neri,male,success
HLT,17.44,3.67,7.0,6.77,01/01/2023,success,Mr. Christopher J. Nassetta,male,success
HOLX,28.24,10.18,4.79,13.27,01/01/2023,success,Mr. Stephen P. MacMillan,male,success
HD,12.54,3.63,3.4,5.51,01/08/2022,success,Mr. Edward P. Decker,male,success
HON,29.31,8.54,10.58,10.19,01/08/2022,success,Mr. Vimal M. Kapur,male,success
HRL,29.91,6.0,13.23,10.68,01/01/2023,success,Mr. James P. Snee,male,success
HST,13.94,5.05,3.25,5.64,01/01/2023,success,Mr. James F. Risoleo,male,success
HWM,,,,,,An error occurred: 'symbolSeries',Mr. John C. Plant FCA,male,success
HPQ,10.93,5.82,0.11,5.0,01/08/2022,success,Mr. Enrique J. Lores,male,success
HUBB,25.29,5.2,9.56,10.53,01/01/2023,success,Mr. Gerben W. Bakker,male,success
HUM,22.37,5.94,0.01,16.43,01/08/2022,success,Mr. Bruce Dale Broussard,male,success
HBAN,20.38,7.63,1.96,10.79,01/01/2023,success,Mr. Stephen D. Steinour,male,success
HII,45.74,51.34,47.02,46.57,01/11/2018,success,Mr. Christopher D. Kastner,male,success
IBM,14.77,7.64,0.47,6.67,01/08/2022,success,Mr. Arvind  Krishna,male,success
IEX,26.82,5.72,8.1,13.0,01/01/2023,success,Mr. Eric D. Ashleman,male,success
IDXX,19.45,9.05,3.3,7.1,01/01/2023,success,Mr. Jonathan J. Mazelsky,male,success
ITW,19.6,6.22,4.31,9.07,01/08/2022,success,Mr. E. Scott Santi,male,success
ILMN,10.9,6.21,0.98,3.72,01/01/2023,success,Mr. Jacob  Thaysen Ph.D.,male,success
INCY,24.12,7.11,1.45,15.55,01/01/2023,success,Mr. Herve  Hoppenot,male,success
IR,20.68,5.83,3.64,11.22,01/03/2020,success,Mr. Vicente  Reynal,male,success
PODD,,,,,,An error occurred: 'symbolSeries',Dr. James R. Hollingshead Ph.D.,male,Manually added gender
INTC,17.26,6.96,4.36,5.94,01/08/2022,success,Mr. Patrick P. Gelsinger,male,success
ICE,16.34,6.68,1.68,7.98,01/08/2022,success,Mr. Jeffrey C. Sprecher,male,success
IFF,22.31,6.5,10.39,5.42,01/01/2023,success,Mr. Franklin K. Clyburn Jr.,male,success
IP,23.71,4.95,14.26,4.5,01/01/2023,success,Mr. Mark Stephan Sutton,male,success
IPG,10.43,5.28,0.04,5.11,01/01/2023,success,Mr. Philippe  Krakowsky,male,success
INTU,16.2,4.7,0.97,10.52,01/08/2022,success,Mr. Sasan K. Goodarzi,male,success
ISRG,23.74,9.6,4.37,9.78,01/08/2022,success,Dr. Gary S. Guthart Ph.D.,male,Manually added gender
IVZ,20.33,9.76,0.7,9.87,01/01/2023,success,Mr. Andrew Ryan Schlossberg,male,success
INVH,,,,,,An error occurred: 'symbolSeries',Mr. Dallas B. Tanner,male,success
IQV,19.14,7.22,1.3,10.62,01/01/2023,success,Mr. Ari  Bousbib,male,success
IRM,14.74,6.0,5.0,3.74,01/01/2023,success,"Mr. William L. Meaney BSc, MEng, MSIA",male,success
JBHT,13.86,4.86,3.0,6.01,01/01/2023,success,Mr. John N. Roberts III,male,success
JKHY,15.45,5.22,0.78,9.45,01/01/2023,success,Mr. David B. Foss,male,success
J,22.37,5.62,5.29,11.46,01/08/2022,success,Mr. Robert V. Pragada,male,success
JNJ,25.08,8.55,0.74,15.79,01/08/2022,success,Mr. Joaquin  Duato,male,success
JCI,14.7,5.25,4.89,4.55,01/08/2022,success,Mr. George R. Oliver,male,success
JPM,29.02,11.73,1.11,16.18,01/08/2022,success,Mr. James  Dimon,male,success
JNPR,16.59,6.41,1.66,8.52,01/01/2023,success,Mr. Rami  Rahim,male,success
K,26.84,4.58,7.4,14.87,01/08/2022,success,Mr. Steven A. Cahillane,male,success
KVUE,,,,,,An error occurred: 'symbolSeries',Mr. Thibaut  Mongon,male,success
KDP,,,,,,An error occurred: 'symbolSeries',Mr. Robert J. Gamgort,male,success
KEY,23.14,10.17,1.89,11.08,01/01/2023,success,Mr. Christopher Marrott Gorman,male,success
KEYS,9.31,5.04,2.03,2.24,01/01/2023,success,Mr. Satish C. Dhanasekaran,male,success
KMB,22.05,6.23,8.05,7.77,01/08/2022,success,Mr. Michael D. Hsu,male,success
KIM,12.14,5.53,3.7,2.91,01/01/2023,success,Mr. Conor C. Flynn,male,success
KMI,18.55,3.48,7.75,7.32,01/08/2022,success,Ms. Kimberly Allen Dang,female,success
KLAC,16.79,4.91,7.13,4.76,01/01/2023,success,Mr. Richard P. Wallace,male,success
KHC,35.3,6.63,14.38,14.29,01/08/2022,success,Mr. Miguel  Patricio,male,success
KR,21.39,5.46,6.51,9.43,01/08/2022,success,Mr. William Rodney McMullen,male,success
LHX,,,,,,An error occurred: 'symbolSeries',Mr. Christopher E. Kubasik CPA,male,success
LH,18.81,7.13,0.13,11.55,01/01/2023,success,Mr. Adam H. Schechter,male,success
LRCX,13.45,4.98,4.5,3.97,01/01/2023,success,Mr. Timothy M. Archer,male,success
LW,,,,,,An error occurred: 'symbolSeries',Mr. Thomas P. Werner,male,success
LVS,17.69,8.65,1.28,7.76,01/08/2022,success,Mr. Robert Glen Goldstein,male,success
LDOS,11.67,5.39,1.29,4.99,01/01/2023,success,Mr. Thomas A. Bell,male,success
LEN,23.11,5.47,8.89,8.77,01/01/2023,success,Mr. Stuart A. Miller,male,success
LIN,,,,,,An error occurred: 'symbolSeries',Mr. Sanjiv  Lamba,male,success
LYV,,,,,,An error occurred: 'symbolSeries',Mr. Michael  Rapino,male,success
LKQ,10.54,3.27,3.27,4.0,01/01/2023,success,Mr. Dominick P. Zarcone,male,success
LMT,28.36,7.2,5.27,15.9,01/08/2022,success,Mr. James D. Taiclet Jr.,male,success
L,16.48,11.63,0.59,4.25,01/01/2023,success,Mr. James S. Tisch,male,success
LOW,11.49,3.15,3.7,4.63,01/08/2022,success,Mr. Marvin R. Ellison,male,success
LULU,16.94,5.5,1.58,9.86,01/01/2023,success,Mr. Calvin R. McDonald,male,success
LYB,24.59,5.82,16.64,2.13,01/08/2022,success,Mr. Peter Z. E. Vanacker,male,success
MTB,26.16,11.19,2.2,12.77,01/08/2022,success,Mr. Rene F. Jones CPA,male,success
MRO,42.01,7.96,23.91,10.14,01/01/2023,success,Mr. Lee M. Tillman,male,success
MPC,28.7,5.79,15.91,7.01,01/08/2022,success,Mr. Michael J. Hennigan,male,success
MKTX,,,,,,An error occurred: 'symbolSeries',Mr. Christopher Robert Concannon,male,success
MAR,21.89,4.09,8.75,9.05,01/08/2022,success,Mr. Anthony G. Capuano Jr.,male,success
MMC,19.45,11.49,0.06,7.9,01/08/2022,success,Mr. John Quinlan Doyle,male,success
MLM,31.82,8.74,18.55,4.53,01/01/2023,success,Mr. C. Howard Nye,male,success
MAS,22.44,7.21,9.44,5.8,01/01/2023,success,Mr. Keith J. Allman,male,success
MA,16.98,8.57,0.32,8.1,01/08/2022,success,Mr. Michael  Miebach,male,success
MTCH,,,,,,An error occurred: 'symbolSeries',Mr. Bernard J. Kim,male,success
MKC,26.58,5.21,10.07,11.3,01/01/2023,success,Mr. Brendan M. Foley,male,success
MCD,24.79,6.32,4.18,14.3,01/08/2022,success,Mr. Christopher J. Kempczinski,male,success
MCK,15.17,5.52,2.29,7.37,01/08/2022,success,Mr. Brian S. Tyler Ph.D.,male,success
MDT,22.66,7.63,2.39,12.63,01/08/2022,success,Mr. Geoffrey Straub Martha,male,success
MRK,21.84,9.57,0.79,11.47,01/08/2022,success,Mr. Robert M. Davis J.D.,male,success
META,32.54,10.51,1.02,21.01,01/08/2022,success,Mr. Mark Elliot Zuckerberg,male,success
MET,14.95,9.41,0.73,4.82,01/08/2022,success,Mr. Michel Abbas Khalaf,male,success
MTD,13.32,4.91,1.0,7.41,01/01/2023,success,Mr. Patrick K. Kaltenbach,male,success
MGM,25.49,10.53,2.0,12.97,01/01/2023,success,Mr. William Joseph Hornbuckle IV,male,success
MCHP,30.98,7.4,14.83,8.75,01/01/2023,success,Mr. Ganesh  Moorthy,male,success
MU,17.44,5.77,6.6,5.07,01/08/2022,success,Mr. Sanjay  Mehrotra,male,success
MSFT,15.24,5.33,1.53,8.39,01/08/2022,success,Mr. Satya  Nadella,male,success
MAA,14.64,5.4,5.5,3.74,01/01/2023,success,Mr. H. Eric Bolton Jr.,male,success
MRNA,,,,,,An error occurred: 'symbolSeries',Mr. Stephane  Bancel,male,success
MHK,14.17,4.36,5.61,4.19,01/01/2023,success,Mr. Jeffrey S. Lorberbaum,male,success
MOH,,,,,,An error occurred: 'symbolSeries',Mr. Joseph Michael Zubretsky,male,success
TAP,21.21,5.57,6.96,8.67,01/01/2023,success,Mr. Gavin D. K. Hattersley,male,success
MDLZ,23.78,5.18,9.46,9.08,01/08/2022,success,Mr. Dirk  Van de Put,male,success
MPWR,,,,,,An error occurred: 'symbolSeries',Mr. Michael R. Hsing,male,success
MNST,28.03,5.03,12.43,10.58,01/08/2022,success,"Mr. Rodney Cyril Sacks H.Dip.Law, H.Dip.Tax",male,success
